"filename", "language", "Python", "Markdown", "pip requirements", "JSON", "YAML", "comment", "blank", "total"
"/Users/brucexu/Desktop/UCLA/Career/Huatai/market-assistant/.claude/settings.local.json", "JSON", 0, 0, 0, 13, 0, 0, 1, 14
"/Users/brucexu/Desktop/UCLA/Career/Huatai/market-assistant/README.md", "Markdown", 0, 151, 0, 0, 0, 0, 40, 191
"/Users/brucexu/Desktop/UCLA/Career/Huatai/market-assistant/analyze_lastpx.py", "Python", 47, 0, 0, 0, 0, 14, 16, 77
"/Users/brucexu/Desktop/UCLA/Career/Huatai/market-assistant/app/__init__.py", "Python", 0, 0, 0, 0, 0, 5, 1, 6
"/Users/brucexu/Desktop/UCLA/Career/Huatai/market-assistant/app/api.py", "Python", 209, 0, 0, 0, 0, 220, 28, 457
"/Users/brucexu/Desktop/UCLA/Career/Huatai/market-assistant/app/ui_streamlit.py", "Python", 242, 0, 0, 0, 0, 72, 75, 389
"/Users/brucexu/Desktop/UCLA/Career/Huatai/market-assistant/core/__init__.py", "Python", 0, 0, 0, 0, 0, 10, 1, 11
"/Users/brucexu/Desktop/UCLA/Career/Huatai/market-assistant/core/configs/settings.yaml", "YAML", 0, 0, 0, 0, 129, 27, 23, 179
"/Users/brucexu/Desktop/UCLA/Career/Huatai/market-assistant/core/duckdb_engine.py", "Python", 59, 0, 0, 0, 0, 102, 34, 195
"/Users/brucexu/Desktop/UCLA/Career/Huatai/market-assistant/core/llm_client.py", "Python", 154, 0, 0, 0, 0, 106, 39, 299
"/Users/brucexu/Desktop/UCLA/Career/Huatai/market-assistant/core/llm_planner.py", "Python", 515, 0, 0, 0, 0, 169, 40, 724
"/Users/brucexu/Desktop/UCLA/Career/Huatai/market-assistant/core/path_resolver.py", "Python", 77, 0, 0, 0, 0, 124, 39, 240
"/Users/brucexu/Desktop/UCLA/Career/Huatai/market-assistant/core/sql_compiler.py", "Python", 704, 0, 0, 0, 0, 248, 96, 1048
"/Users/brucexu/Desktop/UCLA/Career/Huatai/market-assistant/data/test.ipynb", "JSON", 0, 0, 0, 350, 0, 0, 1, 351
"/Users/brucexu/Desktop/UCLA/Career/Huatai/market-assistant/demo.py", "Python", 79, 0, 0, 0, 0, 31, 26, 136
"/Users/brucexu/Desktop/UCLA/Career/Huatai/market-assistant/deployment.md", "Markdown", 0, 76, 0, 0, 0, 0, 38, 114
"/Users/brucexu/Desktop/UCLA/Career/Huatai/market-assistant/generate_mock_data.py", "Python", 92, 0, 0, 0, 0, 25, 23, 140
"/Users/brucexu/Desktop/UCLA/Career/Huatai/market-assistant/requirements.txt", "pip requirements", 0, 0, 25, 0, 0, 10, 10, 45
"/Users/brucexu/Desktop/UCLA/Career/Huatai/market-assistant/simple_test.py", "Python", 9, 0, 0, 0, 0, 0, 5, 14
"/Users/brucexu/Desktop/UCLA/Career/Huatai/market-assistant/test_enhancements.py", "Python", 267, 0, 0, 0, 0, 50, 58, 375
"/Users/brucexu/Desktop/UCLA/Career/Huatai/market-assistant/tests/__init__.py", "Python", 0, 0, 0, 0, 0, 6, 1, 7
"/Users/brucexu/Desktop/UCLA/Career/Huatai/market-assistant/tests/conftest.py", "Python", 31, 0, 0, 0, 0, 27, 10, 68
"/Users/brucexu/Desktop/UCLA/Career/Huatai/market-assistant/tests/test_integration.py", "Python", 312, 0, 0, 0, 0, 94, 102, 508
"/Users/brucexu/Desktop/UCLA/Career/Huatai/market-assistant/tests/test_llm_planner.py", "Python", 359, 0, 0, 0, 0, 90, 106, 555
"/Users/brucexu/Desktop/UCLA/Career/Huatai/market-assistant/tests/test_multi_turn.py", "Python", 69, 0, 0, 0, 0, 18, 21, 108
"/Users/brucexu/Desktop/UCLA/Career/Huatai/market-assistant/tests/test_plan_validate.py", "Python", 138, 0, 0, 0, 0, 34, 35, 207
"/Users/brucexu/Desktop/UCLA/Career/Huatai/market-assistant/tests/test_sql_compiler.py", "Python", 153, 0, 0, 0, 0, 70, 40, 263
"/Users/brucexu/Desktop/UCLA/Career/Huatai/market-assistant/workflow/__init__.py", "Python", 0, 0, 0, 0, 0, 5, 1, 6
"/Users/brucexu/Desktop/UCLA/Career/Huatai/market-assistant/workflow/graph.py", "Python", 258, 0, 0, 0, 0, 79, 99, 436
"/Users/brucexu/Desktop/UCLA/Career/Huatai/market-assistant/workflow/nodes/__init__.py", "Python", 0, 0, 0, 0, 0, 14, 1, 15
"/Users/brucexu/Desktop/UCLA/Career/Huatai/market-assistant/workflow/nodes/execute.py", "Python", 25, 0, 0, 0, 0, 77, 22, 124
"/Users/brucexu/Desktop/UCLA/Career/Huatai/market-assistant/workflow/nodes/memory_update.py", "Python", 4, 0, 0, 0, 0, 77, 16, 97
"/Users/brucexu/Desktop/UCLA/Career/Huatai/market-assistant/workflow/nodes/narrate.py", "Python", 26, 0, 0, 0, 0, 75, 14, 115
"/Users/brucexu/Desktop/UCLA/Career/Huatai/market-assistant/workflow/nodes/plan_gen.py", "Python", 61, 0, 0, 0, 0, 70, 29, 160
"/Users/brucexu/Desktop/UCLA/Career/Huatai/market-assistant/workflow/nodes/postprocess.py", "Python", 12, 0, 0, 0, 0, 84, 18, 114
"/Users/brucexu/Desktop/UCLA/Career/Huatai/market-assistant/workflow/nodes/repair.py", "Python", 30, 0, 0, 0, 0, 91, 13, 134
"/Users/brucexu/Desktop/UCLA/Career/Huatai/market-assistant/workflow/nodes/router.py", "Python", 25, 0, 0, 0, 0, 67, 20, 112
"/Users/brucexu/Desktop/UCLA/Career/Huatai/market-assistant/workflow/nodes/validate.py", "Python", 35, 0, 0, 0, 0, 39, 21, 95
"Total", "-", 3992, 227, 25, 363, 129, 2230, 1163, 8129
